demonicref,demonicsystemid,demonicid,caseref,demonic_type,demonic_text,createdby,createdate,lastupdatedby,lastupdatedon
DP/JO/405,JO,405,C/EGD/1374,New name,Jonet,jhm,2001-10-19T13:09:04,jhm,2001-10-19T13:09:14
DP/JO/406,JO,406,C/EGD/2453,Sex,,jhm,2001-10-23T11:04:04,jhm,2001-10-23T11:04:08
DP/JO/407,JO,407,C/EGD/2453,Tacit pact,,jhm,2001-10-23T11:58:34,jhm,2001-10-23T11:58:50
DP/JO/412,JO,412,C/EGD/1310,Servant,,jhm,2001-11-23T15:56:29,jhm,2001-11-23T15:56:30
DP/JO/413,JO,413,C/EGD/1310,Devil's Mark,,jhm,2001-11-23T15:56:35,jhm,2001-11-23T15:56:42
DP/JO/414,JO,414,C/EGD/1818,Servant,,jhm,2001-11-27T13:45:53,jhm,2001-11-27T13:45:53
DP/JO/415,JO,415,C/EGD/1818,Devil's Mark,on shoulder,jhm,2001-11-27T13:45:58,jhm,2001-11-27T13:52:25
DP/JO/416,JO,416,C/JO/2936,Anti-baptism,,jhm,2001-12-05T13:39:47,jhm,2001-12-05T13:39:48
DP/JO/417,JO,417,C/JO/2936,Devil's Mark,,jhm,2001-12-05T13:39:51,jhm,2001-12-05T13:39:52
DP/JO/418,JO,418,C/JO/2936,Paction,,jhm,2001-12-05T13:39:56,jhm,2001-12-05T13:40:05
DP/JO/42,JO,42,C/EGD/604,New name,Mary Lykeas,jhm,2001-06-27T12:12:10,jhm,2001-06-27T12:12:24
DP/JO/428,JO,428,C/JO/2861,Anti-baptism,,jhm,2002-01-14T09:15:16,jhm,2002-01-14T09:15:33
DP/JO/429,JO,429,C/EGD/1866,Anti-baptism,,jhm,2002-01-16T15:19:25,jhm,2002-01-16T15:19:27
DP/JO/43,JO,43,C/EGD/604,Anti-baptism,,jhm,2001-06-27T12:12:26,jhm,2001-06-27T12:12:32
DP/JO/430,JO,430,C/EGD/1866,Servant,,jhm,2002-01-16T15:19:33,jhm,2002-01-16T15:19:42
DP/JO/431,JO,431,C/JO/2954,Anti-baptism,,jhm,2002-01-16T15:36:42,jhm,2002-01-16T15:36:43
DP/JO/432,JO,432,C/JO/2954,Servant,,jhm,2002-01-16T15:36:45,jhm,2002-01-16T15:36:46
DP/JO/433,JO,433,C/JO/2955,Anti-baptism,,jhm,2002-01-16T15:42:11,jhm,2002-01-16T15:42:12
DP/JO/434,JO,434,C/JO/2955,Servant,,jhm,2002-01-16T15:42:13,jhm,2002-01-16T15:42:14
DP/JO/435,JO,435,C/EGD/2260,Body and soul,,jhm,2002-01-23T11:30:51,jhm,2002-01-23T11:30:59
DP/JO/436,JO,436,C/EGD/2260,Paction,,jhm,2002-01-23T11:31:02,jhm,2002-01-23T11:31:07
DP/JO/44,JO,44,C/EGD/604,Want nothing,,jhm,2001-06-27T12:12:37,jhm,2001-06-27T12:12:49
DP/JO/449,JO,449,C/EGD/2387,Anti-baptism,,jhm,2002-02-07T10:25:01,jhm,2002-02-07T10:25:02
DP/JO/450,JO,450,C/EGD/2387,Devil's Mark,neck,jhm,2002-02-07T10:25:03,jhm,2002-02-07T10:29:46
DP/JO/451,JO,451,C/EGD/2387,Sex,,jhm,2002-02-07T10:25:09,jhm,2002-02-07T10:25:10
DP/JO/452,JO,452,C/EGD/2387,New name,Nikkie Clark,jhm,2002-02-07T10:25:12,jhm,2002-02-07T10:25:28
DP/JO/453,JO,453,C/EGD/1856,Anti-baptism,,jhm,2002-02-07T11:19:33,jhm,2002-02-07T11:19:33
DP/JO/454,JO,454,C/EGD/1856,New name,Isoble Fairwedder,jhm,2002-02-07T11:19:38,jhm,2002-02-07T11:19:55
DP/JO/455,JO,455,C/EGD/1848,Anti-baptism,,jhm,2002-02-07T16:01:32,jhm,2002-02-07T16:01:33
DP/JO/456,JO,456,C/EGD/1848,New name,Jonat Archibald,jhm,2002-02-07T16:01:42,jhm,2002-02-07T16:01:54
DP/JO/457,JO,457,C/EGD/1848,Sex,,jhm,2002-02-07T16:01:59,jhm,2002-02-07T16:02:05
DP/JO/458,JO,458,C/EGD/1855,Devil's Mark,,jhm,2002-02-14T10:45:31,jhm,2002-02-14T10:45:36
DP/JO/489,JO,489,C/JO/2895,Paction,,jhm,2002-03-04T14:09:08,jhm,2002-03-04T14:09:09
DP/JO/490,JO,490,C/JO/2895,Anti-baptism,,jhm,2002-03-04T14:09:10,jhm,2002-03-04T14:09:17
DP/JO/491,JO,491,C/JO/2894,Paction,,jhm,2002-03-04T14:10:07,jhm,2002-03-04T14:10:09
DP/JO/492,JO,492,C/JO/2894,Anti-baptism,,jhm,2002-03-04T14:10:11,jhm,2002-03-04T14:10:14
DP/JO/495,JO,495,C/EGD/2172,Devil's Mark,on 3rd finger/ right hand,jhm,2002-05-08T16:50:09,jhm,2002-05-08T16:50:33
DP/JO/496,JO,496,C/EGD/2172,Kisses Devil's bottom,,jhm,2002-05-08T16:51:00,jhm,2002-05-08T16:51:09
DP/JO/497,JO,497,C/EGD/2172,Sex,,jhm,2002-05-09T11:45:26,jhm,2002-05-09T11:45:29
